KANJI	FURIGANA	PART OF SPEECH
学校	がっこう	Noun
川	かわ	Noun
手	て	Noun
戸	と	Noun
眼鏡	めがね	Noun
煙草	たばこ	Noun
赤	あか	"Noun, Noun which may take the genitive case particle 'no'"
仕事	しごと	"Noun, Suru verb, Intransitive verb"
英語	えいご	Noun
問題	もんだい	Noun
部屋	へや	Noun
子供	こども	Noun
時間	じかん	Noun
雨	あめ	Noun
先生	せんせい	Noun
年	とし	"Noun, Adverb (fukushi)"
手紙	てがみ	Noun
電話	でんわ	"Noun, Suru verb, Noun which may take the genitive case particle 'no'"
水	みず	Noun
病気	びょうき	"Noun, Noun which may take the genitive case particle 'no'"
上げる	あげる	"Ichidan verb, Transitive verb"
結婚	けっこん	"Noun, Suru verb, Intransitive verb"
言葉	ことば	Noun
目	め	Noun
走る	はしる	"Godan verb with ru ending, Intransitive verb"
名前	なまえ	Noun
旅行	りょこう	"Noun, Suru verb, Intransitive verb"
道	みち	Noun
飛行機	ひこうき	Noun
映画	えいが	Noun
音楽	おんがく	Noun
木	き	Noun
大学	だいがく	Noun
時計	とけい	Noun
家族	かぞく	Noun
花	はな	Noun
猫	ねこ	Noun
毎日	まいにち	"Noun, Adverb (fukushi)"
宿題	しゅくだい	Noun
雪	ゆき	Noun
山	やま	"Noun, Counter"
窓	まど	Noun
動物	どうぶつ	Noun
夜	よる	"Noun, Adverb (fukushi)"
料理	りょうり	"Noun, Suru verb, Transitive verb"
夏	なつ	"Noun, Adverb (fukushi)"
新聞	しんぶん	Noun
公園	こうえん	Noun
意味	いみ	"Noun, Suru verb, Transitive verb"
自転車	じてんしゃ	Noun
足	あし	Noun
電車	でんしゃ	Noun
散歩	さんぽ	"Noun, Suru verb, Intransitive verb"
声	こえ	Noun
朝	あさ	"Noun, Adverb (fukushi)"
歌	うた	Noun
靴	くつ	Noun
箱	はこ	Noun
机	つくえ	Noun
帽子	ぼうし	Noun
海	うみ	Noun
授業	じゅぎょう	"Noun, Suru verb, Intransitive verb"
銀行	ぎんこう	Noun
写真	しゃしん	Noun
冬	ふゆ	"Noun, Adverb (fukushi)"
村	むら	Noun
傘	かさ	Noun
口	くち	Noun
橋	はし	Noun
病院	びょういん	Noun
春	はる	"Noun, Adverb (fukushi)"
図書館	としょかん	Noun
買い物	かいもの	"Noun, Suru verb, Intransitive verb"
椅子	いす	Noun
自動車	じどうしゃ	Noun
色	いろ	Noun
卵	たまご	Noun
肉	にく	Noun
風邪	かぜ	Noun
掃除	そうじ	"Noun, Suru verb, Transitive verb"
紙	かみ	Noun
鍵	かぎ	Noun
雑誌	ざっし	Noun
切符	きっぷ	Noun
外国人	がいこくじん	Noun
財布	さいふ	Noun
鉛筆	えんぴつ	Noun
大人	おとな	"Noun, Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi)"
地図	ちず	Noun
塩	しお	Noun
夏休み	なつやすみ	Noun
砂糖	さとう	Noun
郵便局	ゆうびんきょく	Noun
池	いけ	Noun
教室	きょうしつ	Noun
耳	みみ	Noun
切手	きって	Noun
台所	だいどころ	"Noun, Noun which may take the genitive case particle 'no'"
電気	でんき	Noun
歯	は	Noun
歯	は	Noun
紅茶	こうちゃ	Noun
家庭	かてい	Noun
野菜	やさい	Noun
風呂	ふろ	Noun
玄関	げんかん	Noun
地下鉄	ちかてつ	Noun
鼻	はな	Noun
緑	みどり	"Noun, Noun which may take the genitive case particle 'no'"
昼	ひる	Noun
西	にし	Noun
白	しろ	Noun
洗濯	せんたく	"Noun, Suru verb"
冷蔵庫	れいぞうこ	Noun
南	みなみ	Noun
火曜日	かようび	"Noun, Adverb (fukushi)"
北	きた	Noun
茶色	ちゃいろ	"Noun, Noun which may take the genitive case particle 'no'"
喫茶店	きっさてん	Noun
黒	くろ	Noun
青	あお	"Noun, Noun which may take the genitive case particle 'no'"
靴下	くつした	Noun
封筒	ふうとう	Noun
辺	へん	Noun
黄色	きいろ	"Noun, Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi)"
映画館	えいがかん	Noun
箸	はし	Noun
食堂	しょくどう	Noun
牛肉	ぎゅうにく	Noun
交差点	こうさてん	Noun
漢字	かんじ	Noun
茶碗	ちゃわん	Noun
曇り	くもり	Noun
背広	せびろ	Noun
灰皿	はいざら	Noun
万年筆	まんねんひつ	Noun
大使館	たいしかん	Noun
豚肉	ぶたにく	Noun
交番	こうばん	Noun
飲む	のむ	"Godan verb with mu ending, Transitive verb"
頭	あたま	Noun
日曜日	にちようにち	"Noun, Adverb (fukushi)"
誕生日	たんじょうび	Noun
可愛い	かわいい	I-adjective (keiyoushi)
鞄	かばん	Noun
土曜日	どようび	"Noun, Adverb (fukushi)"
月曜日	げつようび	"Noun, Adverb (fukushi)"
金曜日	きんようび	"Noun, Adverb (fukushi)"
花瓶	かびん	Noun
木曜日	もくようび	"Noun, Adverb (fukushi)"
本棚	ほんだな	Noun
石鹸	せっけん	Noun
水曜日	すいようび	"Noun, Adverb (fukushi)"
飴	あめ	Noun
八百屋	やおや	Noun
成る	なる	"Godan verb with ru ending, Intransitive verb"
より	より	Particle
一番	いちばん	"Noun, Noun which may take the genitive case particle 'no'"
私	わたし	Pronoun
外	そと	Noun
姉	あね	Noun
百	ひゃく	Numeric
有る	ある	"Godan verb with ru ending (irregular verb), Intransitive verb"
其の	その	Pre-noun adjectival (rentaishi)
言う	いう	Godan verb with u ending
出来る	できる	"Ichidan verb, Intransitive verb"
